shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
S2_AIR_9_245,32.72781372,-117.18199921,40041,6.123000
S2_AIR_9_245,32.72778320,-117.18189240,40042,6.130000
S2_AIR_9_245,32.72817612,-117.17928314,40043,6.284000
S2_AIR_9_245,32.72985077,-117.17427063,40044,6.598000
S2_AIR_9_245,32.73128891,-117.17493439,40045,6.704000
S2_AIR_9_245,32.73221588,-117.17592621,40046,6.790000
S2_AIR_9_245,32.73284149,-117.17646790,40047,6.844000
S2_AIR_9_245,32.73284149,-117.17646790,50001,6.844000
S2_AIR_9_245,32.73298645,-117.17659760,50002,6.857000
S2_AIR_9_245,32.73409271,-117.17757416,50003,6.951000
S2_AIR_9_245,32.73548126,-117.17942047,50004,7.095000
S2_AIR_9_245,32.73636246,-117.18325043,50005,7.327000
S2_AIR_9_245,32.73753738,-117.18464661,50006,7.441000
S2_AIR_9_245,32.73908615,-117.18557739,50007,7.561000
S2_AIR_9_245,32.73920059,-117.18537903,50008,7.575000
S2_AIR_9_245,32.73954391,-117.18505859,50009,7.605000
S2_AIR_9_245,32.74000549,-117.18471527,50010,7.643000
S2_AIR_9_245,32.74023819,-117.18446350,50011,7.664000
S2_AIR_9_245,32.74028778,-117.18441010,50012,7.669000
S2_AIR_9_245,32.74048233,-117.18427277,50013,7.685000
S2_AIR_9_245,32.74053574,-117.18424225,50014,7.689000
S2_AIR_9_245,32.74070740,-117.18412781,50015,7.702000
S2_AIR_9_245,32.74106979,-117.18499756,50016,7.759000
S2_AIR_9_245,32.74160385,-117.18685913,50017,7.873000
S2_AIR_9_245,32.74187851,-117.18757629,50018,7.919000
S2_AIR_9_245,32.74240875,-117.18872833,50019,7.995000
S2_AIR_9_245,32.74291611,-117.18982697,50020,8.069000
S2_AIR_9_245,32.74339676,-117.19087219,50021,8.138000
S2_AIR_9_245,32.74368286,-117.19146729,50022,8.178000
S2_AIR_9_245,32.74378967,-117.19166565,50023,8.191000
S2_AIR_9_245,32.74395370,-117.19193268,50024,8.211000
S2_AIR_9_245,32.74414063,-117.19227600,50025,8.234000
S2_AIR_9_245,32.74468231,-117.19337463,50026,8.308000
S2_AIR_9_245,32.74480057,-117.19361115,50027,8.325000
S2_AIR_9_245,32.74523163,-117.19450378,50028,8.384000
S2_AIR_9_245,32.74550247,-117.19507599,50029,8.423000
S2_AIR_9_245,32.74564362,-117.19531250,50030,8.440000
S2_AIR_9_245,32.74596405,-117.19583893,50031,8.477000
S2_AIR_9_245,32.74690247,-117.19714355,50032,8.577000
S2_AIR_9_245,32.74719238,-117.19754028,50033,8.608000
S2_AIR_9_245,32.74773788,-117.19830322,50034,8.666000
S2_AIR_9_245,32.74809647,-117.19869232,50035,8.699000
S2_AIR_9_245,32.74848175,-117.19902039,50036,8.732000
S2_AIR_9_245,32.74887848,-117.19928741,50037,8.763000
S2_AIR_9_245,32.74971771,-117.19972229,50038,8.827000
S2_AIR_9_245,32.75043869,-117.20000458,50039,8.879000
S2_AIR_9_245,32.75118256,-117.20022583,50040,8.932000
S2_AIR_9_245,32.75150681,-117.20029449,50041,8.955000
S2_AIR_9_245,32.75319672,-117.20063019,50042,9.072000
S2_AIR_9_245,32.75370789,-117.20073700,50043,9.108000
S2_AIR_9_245,32.75370789,-117.20073700,60001,9.108000
S2_AIR_9_245,32.75406265,-117.20080566,60002,9.133000
S2_AIR_9_245,32.75410461,-117.20081329,60003,9.136000
S2_AIR_9_245,32.75421524,-117.20083618,60004,9.144000
S2_AIR_9_245,32.75437164,-117.20086670,60005,9.155000
S2_AIR_9_245,32.75462341,-117.20091248,60006,9.172000
S2_AIR_9_245,32.75541306,-117.20107269,60007,9.227000
S2_AIR_9_245,32.75544739,-117.20077515,60008,9.245000
S2_AIR_9_245,32.75555801,-117.19988251,60009,9.298000
S2_AIR_9_245,32.75558090,-117.19972229,60010,9.307000
S2_AIR_9_245,32.75561905,-117.19962311,60011,9.313000
S2_AIR_9_245,32.75556946,-117.19952393,60012,9.320000
S2_AIR_9_245,32.75550079,-117.19940948,60013,9.328000
S2_AIR_9_245,32.75539780,-117.19931030,60014,9.337000
S2_AIR_9_245,32.75535583,-117.19926453,60015,9.341000
S2_AIR_9_245,32.75529861,-117.19920349,60016,9.347000
S2_AIR_9_245,32.75515366,-117.19922638,60017,9.357000
S2_AIR_9_245,32.75493622,-117.19917297,60018,9.372000
S2_AIR_9_245,32.75485992,-117.19915009,60019,9.377000
510_0_323,32.54440689,-117.02941132,10001,0.000000
510_0_323,32.54476547,-117.02968597,10002,0.030000
510_0_323,32.54505539,-117.02996063,10003,0.055000
510_0_323,32.54555130,-117.03049469,10004,0.101000
510_0_323,32.54587173,-117.03079224,10005,0.129000
510_0_323,32.54599762,-117.03086853,10006,0.139000
510_0_323,32.54615402,-117.03092957,10007,0.151000
510_0_323,32.54668808,-117.03108978,10008,0.188000
510_0_323,32.54698563,-117.03125000,10009,0.211000
510_0_323,32.54707336,-117.03133392,10010,0.219000
510_0_323,32.54836273,-117.03293610,10011,0.348000
510_0_323,32.55064011,-117.03601837,10012,0.587000
510_0_323,32.55099487,-117.03637695,10013,0.619000
510_0_323,32.55144882,-117.03675842,10014,0.657000
510_0_323,32.55179596,-117.03710175,10015,0.688000
510_0_323,32.55250931,-117.03800964,10016,0.760000
510_0_323,32.55328751,-117.03910065,10017,0.844000
510_0_323,32.55373001,-117.03976440,10018,0.893000
510_0_323,32.55411911,-117.04043579,10019,0.941000
510_0_323,32.55506134,-117.04222107,10020,1.063000
510_0_323,32.55606079,-117.04408264,10021,1.192000
510_0_323,32.55766678,-117.04715729,10022,1.403000
510_0_323,32.55766678,-117.04715729,20001,1.403000
510_0_323,32.56010437,-117.05182648,20002,1.723000
510_0_323,32.56063080,-117.05279541,20003,1.790000
510_0_323,32.56115341,-117.05364227,20004,1.851000
510_0_323,32.56347656,-117.05728149,20005,2.117000
510_0_323,32.56525803,-117.06012726,20006,2.324000
510_0_323,32.56829071,-117.06493378,20007,2.673000
